Reservoir,Site,DateTime,WVWA_Pressure_psi,WVWA_Baro_pressure_psi,WVWA_Pressure_psia,WVWA_Flow_cms,WVWA_Temp_C,VT_Pressure_psia,VT_Flow_cms,VT_Temp_C,Flag_WVWA_Pressure_psi,Flag_WVWA_Baro_pressure_psi,Flag_WVWA_Pressure_psia,Flag_WVWA_Flow_cms,Flag_WVWA_Temp_C,Flag_VT_Pressure_psia,Flag_VT_Flow_cms,Flag_VT_Temp_C
FCR,100,2025-01-01 00:00:00,14.466,13.709,0.757,0.098,5.25,0.516,NA,5.163,0,0,0,6,0,0,7,0
FCR,100,2025-01-01 00:15:00,14.468,13.71,0.758,0.099,5.19,0.516,NA,5.155,0,0,0,6,0,0,7,0
FCR,100,2025-01-01 00:30:00,14.467,13.714,0.753,0.095,5.19,0.514,NA,5.146,0,0,0,6,0,0,7,0
FCR,100,2025-01-01 00:45:00,14.468,13.718,0.75,0.093,5.19,0.516,NA,5.123,0,0,0,0,0,0,7,0
FCR,100,2025-01-01 01:00:00,14.474,13.715,0.759,0.1,5.19,0.516,NA,5.094,0,0,0,6,0,0,7,0
FCR,100,2025-01-01 01:15:00,14.475,13.713,0.762,0.102,5.13,0.515,NA,5.07,0,0,0,6,0,0,7,0
FCR,100,2025-01-01 01:30:00,14.481,13.724,0.757,0.098,5.13,0.516,NA,5.036,0,0,0,6,0,0,7,0
FCR,100,2025-01-01 01:45:00,14.484,13.728,0.756,0.097,5.06,0.515,NA,5.007,0,0,0,6,0,0,7,0
FCR,100,2025-01-01 02:00:00,14.486,13.729,0.757,0.098,5.06,0.516,NA,4.988,0,0,0,6,0,0,7,0
FCR,100,2025-01-01 02:15:00,14.49,13.734,0.756,0.097,5,0.515,NA,4.957,0,0,0,6,0,0,7,0
FCR,100,2025-01-01 02:30:00,14.497,13.731,0.766,0.105,5,0.514,NA,4.939,0,0,0,6,0,0,7,0
FCR,100,2025-01-01 02:45:00,14.495,13.744,0.751,0.094,5,0.514,NA,4.916,0,0,0,0,0,0,7,0
FCR,100,2025-01-01 03:00:00,14.499,13.74,0.759,0.1,5,0.515,NA,4.916,0,0,0,6,0,0,7,0
FCR,100,2025-01-01 03:15:00,14.502,13.749,0.753,0.095,5,0.514,NA,4.921,0,0,0,6,0,0,7,0
FCR,100,2025-01-01 03:30:00,14.506,13.749,0.757,0.098,5,0.513,NA,4.902,0,0,0,6,0,0,7,0
FCR,100,2025-01-01 03:45:00,14.509,13.752,0.757,0.098,4.94,0.514,NA,4.901,0,0,0,6,0,0,7,0
FCR,100,2025-01-01 04:00:00,14.51,13.754,0.756,0.097,4.94,0.514,NA,4.891,0,0,0,6,0,0,7,0
FCR,100,2025-01-01 04:15:00,14.506,13.754,0.752,0.095,4.94,0.517,NA,4.869,0,0,0,0,0,0,7,0
